BBEID,BBEScore,BBEVote,numRatings,ratingByStars,LikedPercent
157,97241,1163,439357,"['146225', '161438', '89909', '28884', '12901']",90
158,97145,1208,302123,"['130688', '109977', '48832', '9581', '3045']",96
159,97131,1123,1474731,"['411702', '410861', '368837', '170758', '112573']",81
160,96044,1110,265556,"['91714', '94937', '55752', '16595', '6558']",91
161,95549,1198,273714,"['103957', '101696', '54638', '10239', '3184']",95
162,95453,1247,369625,"['135240', '125507', '83293', '18527', '7058']",93
163,94718,1076,309408,"['156763', '96893', '42914', '9001', '3837']",96
164,94057,1168,305442,"['173548', '69785', '43078', '12325', '6706']",94
165,92433,1129,283383,"['165602', '68363', '35498', '9096', '4824']",95
166,92419,1056,543224,"['270544', '169792', '74698', '19044', '9146']",95
167,89997,1026,276134,"['149461', '80313', '35691', '7610', '3059']",96
168,89039,1091,238191,"['74559', '80806', '54004', '19114', '9708']",88
169,88598,1078,223200,"['83301', '77823', '43396', '12826', '5854']",92
170,88520,1093,414628,"['91427', '119027', '113014', '57204', '33956']",78
171,87535,1035,741242,"['410729', '232703', '81423', '11642', '4745']",98
172,87403,1151,442719,"['149891', '158932', '101900', '24859', '7137']",93
173,87055,974,337166,"['236558', '68244', '23477', '5794', '3093']",97
174,86743,1045,234894,"['119729', '66808', '34029', '9769', '4559']",94
175,84898,1008,191767,"['85892', '60231', '31678', '9473', '4493']",93
176,84481,1017,686287,"['358399', '225767', '87125', '11424', '3572']",98
177,84023,1011,748643,"['349124', '258038', '118851', '18166', '4464']",97
178,82631,1037,597870,"['197959', '224003', '128294', '32176', '15438']",92
179,82199,1071,376781,"['151592', '120085', '76065', '20140', '8899']",92
180,81356,1058,341131,"['106374', '123757', '81303', '21268', '8429']",91
181,81140,991,202289,"['71239', '60380', '45697', '17393', '7580']",88
182,80572,1009,253769,"['65316', '85529', '68711', '24294', '9919']",87
183,80122,941,242124,"['118902', '72242', '35742', '10044', '5194']",94
184,79680,1007,445082,"['172803', '148843', '88311', '24252', '10873']",92
185,79330,936,187877,"['116423', '51102', '16108', '2969', '1275']",98
186,78977,1005,328451,"['194372', '77411', '40683', '10548', '5437']",95
187,78765,980,809293,"['359709', '314526', '109079', '19322', '6657']",97
188,78429,902,1056076,"['412717', '359872', '202899', '58741', '21847']",92
189,77699,944,161944,"['75080', '50841', '26689', '6530', '2804']",94
190,77655,1054,319238,"['93921', '120626', '79493', '18826', '6372']",92
191,77635,924,110899,"['40635', '28416', '22087', '10571', '9190']",82
192,77086,1041,402027,"['113094', '148264', '108685', '24407', '7577']",92
193,75815,856,1946452,"['773382', '395613', '344055', '204517', '228885']",78
